race,state,modeldate,candidate_name,pct_estimate,pct_trend_adjusted,timestamp,contestdate
2020D,New Jersey,4/3/2020,Joseph R. Biden Jr.,25.06338,52.63579,12:32:13  3 Apr 2020,6/2/2020
2020D,National,4/3/2020,Joseph R. Biden Jr.,51.57718,,12:32:13  3 Apr 2020,
2020D,Montana,4/3/2020,Joseph R. Biden Jr.,15,36.4784,12:32:13  3 Apr 2020,6/2/2020
2020D,Maryland,4/3/2020,Joseph R. Biden Jr.,22.66085,55.21083,12:32:13  3 Apr 2020,6/2/2020
2020D,Kansas,4/3/2020,Joseph R. Biden Jr.,55.31912,57.00105,12:32:13  3 Apr 2020,5/2/2020
2020D,Indiana,4/3/2020,Joseph R. Biden Jr.,33,52.38117,12:32:13  3 Apr 2020,6/2/2020
2020D,Georgia,4/3/2020,Joseph R. Biden Jr.,40.25363,63.13532,12:32:13  3 Apr 2020,5/19/2020
2020D,Delaware,4/3/2020,Joseph R. Biden Jr.,32.18214,59.36848,12:32:13  3 Apr 2020,6/2/2020
2020D,Connecticut,4/3/2020,Joseph R. Biden Jr.,37.95837,58.13887,12:32:13  3 Apr 2020,6/2/2020
2020D,Wyoming,4/2/2020,Bernard Sanders,4.01e-07,7.917261,10:54:12  2 Apr 2020,4/17/2020
2020D,Wisconsin,4/2/2020,Bernard Sanders,30.42974,35.9726,10:54:12  2 Apr 2020,4/7/2020
2020D,Pennsylvania,4/2/2020,Bernard Sanders,16.98144,28.69057,10:54:12  2 Apr 2020,6/2/2020
2020D,Oregon,4/2/2020,Bernard Sanders,26.96935,38.68748,10:54:12  2 Apr 2020,5/19/2020
2020D,Ohio,4/2/2020,Bernard Sanders,25.20393,28.97415,10:54:12  2 Apr 2020,4/28/2020
2020D,New York,4/2/2020,Bernard Sanders,17.28091,29.81249,10:54:12  2 Apr 2020,6/23/2020
2020D,New Mexico,4/2/2020,Bernard Sanders,22.73937,36.84749,10:54:12  2 Apr 2020,6/2/2020
2020D,New Jersey,4/2/2020,Bernard Sanders,19.78178,33.04214,10:54:12  2 Apr 2020,6/2/2020
2020D,National,4/2/2020,Bernard Sanders,31.97916,,10:54:12  2 Apr 2020,
2020D,Montana,4/2/2020,Bernard Sanders,2.000001,11.67959,10:54:12  2 Apr 2020,6/2/2020
2020D,Maryland,4/2/2020,Bernard Sanders,19.8526,27.80588,10:54:12  2 Apr 2020,6/2/2020
2020D,Kansas,4/2/2020,Bernard Sanders,36.27026,35.31985,10:54:12  2 Apr 2020,5/2/2020
2020D,Indiana,4/2/2020,Bernard Sanders,23,40.6057,10:54:12  2 Apr 2020,6/2/2020
2020D,Georgia,4/2/2020,Bernard Sanders,15.04269,25.90911,10:54:12  2 Apr 2020,5/19/2020
2020D,Delaware,4/2/2020,Bernard Sanders,10.19053,23.82893,10:54:12  2 Apr 2020,6/2/2020
2020D,Connecticut,4/2/2020,Bernard Sanders,22.13335,30.00504,10:54:12  2 Apr 2020,6/2/2020
2020D,Wyoming,4/2/2020,Joseph R. Biden Jr.,4.01e-07,10.55068,10:54:12  2 Apr 2020,4/17/2020
2020D,Wisconsin,4/2/2020,Joseph R. Biden Jr.,39.92027,51.56364,10:54:12  2 Apr 2020,4/7/2020
2020D,Pennsylvania,4/2/2020,Joseph R. Biden Jr.,31.39977,55.17054,10:54:12  2 Apr 2020,6/2/2020
2020D,Oregon,4/2/2020,Joseph R. Biden Jr.,25.45376,48.61675,10:54:12  2 Apr 2020,5/19/2020
2020D,Ohio,4/2/2020,Joseph R. Biden Jr.,52.36729,58.47706,10:54:12  2 Apr 2020,4/28/2020
2020D,New York,4/2/2020,Joseph R. Biden Jr.,22.76445,49.20151,10:54:12  2 Apr 2020,6/23/2020
2020D,New Mexico,4/2/2020,Joseph R. Biden Jr.,25.48312,50.37377,10:54:12  2 Apr 2020,6/2/2020
2020D,New Jersey,4/2/2020,Joseph R. Biden Jr.,25.06338,52.63579,10:54:12  2 Apr 2020,6/2/2020
2020D,National,4/2/2020,Joseph R. Biden Jr.,51.57718,,10:54:12  2 Apr 2020,
2020D,Montana,4/2/2020,Joseph R. Biden Jr.,15,36.4784,10:54:12  2 Apr 2020,6/2/2020
2020D,Maryland,4/2/2020,Joseph R. Biden Jr.,22.66085,55.21083,10:54:12  2 Apr 2020,6/2/2020
2020D,Kansas,4/2/2020,Joseph R. Biden Jr.,55.31912,57.00105,10:54:12  2 Apr 2020,5/2/2020
2020D,Indiana,4/2/2020,Joseph R. Biden Jr.,33,52.38117,10:54:12  2 Apr 2020,6/2/2020
2020D,Georgia,4/2/2020,Joseph R. Biden Jr.,40.25363,63.13532,10:54:12  2 Apr 2020,5/19/2020
2020D,Delaware,4/2/2020,Joseph R. Biden Jr.,32.18214,59.36848,10:54:12  2 Apr 2020,6/2/2020
2020D,Connecticut,4/2/2020,Joseph R. Biden Jr.,37.95837,58.13887,10:54:12  2 Apr 2020,6/2/2020
2020D,Wyoming,4/1/2020,Bernard Sanders,4.01e-07,8.115948,13:22:13  1 Apr 2020,4/17/2020
2020D,Wisconsin,4/1/2020,Bernard Sanders,30.43158,36.26414,13:22:13  1 Apr 2020,4/7/2020
